mimicry_rank,lig_id,pref_name,chembl_id,affinity_kcal_mol,ligand_efficiency,contact_jaccard_vs_AMP,n_shared_contacts,adenine_F18_stack,phos_ploop_contacts,tanimoto_to_5AMP,beats_AMP_affinity,functional_effect
1,L067,,CHEMBL431485,-9.75,0.296,1.0,7/7,1,3/6,0.27,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
2,L052,,CHEMBL278932,-9.34,0.346,1.0,7/7,1,1/6,0.26,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
3,L004,GMP,CURATED_GMP,-9.2,0.383,1.0,7/7,1,5/6,0.66,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
4,L056,,CHEMBL17857,-9.15,0.316,1.0,7/7,1,3/6,0.25,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
5,L003,cAMP,CURATED_cAMP,-9.11,0.414,1.0,7/7,1,3/6,0.5,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
6,L068,,CHEMBL23876,-9.06,0.312,1.0,7/7,1,2/6,0.58,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
7,L035,,CHEMBL9701,-8.83,0.384,1.0,7/7,1,3/6,0.41,yes,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
8,L001,AMP_5prime,CURATED_AMP_5prime,-8.68,0.377,1.0,7/7,1,3/6,1.0,anchor,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
9,L055,,CHEMBL18238,-8.62,0.319,1.0,7/7,1,6/6,0.41,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
10,L064,,CHEMBL280360,-8.57,0.329,1.0,7/7,1,4/6,0.48,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
11,L049,,CHEMBL278226,-8.32,0.32,1.0,7/7,1,4/6,0.19,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
12,L036,,CHEMBL276860,-8.23,0.266,1.0,7/7,1,5/6,0.29,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
13,L070,,CHEMBL281913,-8.21,0.283,1.0,7/7,1,3/6,0.43,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
14,L034,,CHEMBL430330,-8.14,0.407,1.0,7/7,1,3/6,0.34,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
15,L008,remdesivir_ns,CURATED_remdesivir_ns,-8.11,0.203,1.0,7/7,1,5/6,0.41,no,"UNKNOWN — binding predicted, activator vs inhibitor requires assay"
